Latitude,Longitude,cidade,estado
-20.532723742577275,-47.407663685207694,franca,SP
-23.742925723597843,-46.53990050903086,sao bernardo do campo,SP
-23.54815691019176,-46.37453780092622,sao paulo,SP
-23.552729727468805,-46.18285011277122,mogi das cruzes,SP
-22.89196183744755,-46.32388581387446,campinas,SP
-26.487880881742953,-49.114105155707165,jaragua do sul,SC
-19.558703162371458,-42.627010653999946,timoteo,MG
-26.05401109067998,-49.023988728703046,curitiba,PR
-20.25742224330807,-45.23411712872938,belo horizonte,MG
-16.72660837737402,-43.852269474281094,montes claros,MG
-22.917137505610988,-43.36478185965061,rio de janeiro,RJ
-22.59369647888107,-48.79952209657664,lencois paulista,SP
-29.056812498454626,-51.13040437062998,caxias do sul,RS
-22.7050283983938,-47.65026726776514,piracicaba,SP
-23.43232969206244,-46.46906676324375,guarulhos,SP
-3.774435030011098,-50.57679271170129,pacaja,PA
-27.602743386517652,-48.49141248362003,florianopolis,SC
-16.786271588412806,-49.26608178331168,aparecida de goiania,GO
-23.693396366985976,-46.43498890417795,santo andre,SP
-16.65967470367739,-49.303675475292195,goiania,GO
-20.84254734835914,-41.151653751499964,cachoeiro de itapemirim,ES
-22.224443458473257,-47.64016982510044,sao jose dos campos,SP
-23.52890991304481,-47.10052556618952,sao roque,SP
-12.742289643033349,-38.23794211454792,camacari,BA
-22.484940725389404,-44.46475912073059,resende,RJ
-22.82263855389874,-47.225994769831615,sumare,SP
-29.70554681647288,-51.09767852998206,novo hamburgo,RS
-2.5558811180356953,-44.2679958330574,sao luis,MA
-27.46358818245625,-49.5844201233959,sao jose,SC
-19.967420535537325,-43.38655718834536,santa barbara,MG
-21.94286399363638,-48.798148728025794,ribeirao preto,SP
-18.96403917784425,-49.46357067406661,ituiutaba,MG
-23.523124513190012,-49.27836926930475,taquarituba,SP
-25.57140304565901,-49.1265823273696,sao jose dos pinhais,PR
-21.2063313915777,-48.12792722125148,barrinha,SP
-23.102193101703016,-43.528517732006215,paraty,RJ
-22.231221249999965,-54.79870052221004,dourados,MS
-16.62802545671699,-49.540942164349666,trindade,GO
-24.956268190417653,-53.445743024425724,cascavel,PR
-3.7828422037212093,-38.52380301946645,fortaleza,CE
-13.523720340664408,-58.19108864984359,brasilia,DF
-31.687607598659113,-52.28242552887429,pelotas,RS
-30.101876589136594,-51.149159448534036,porto alegre,RS
-23.187386623061755,-47.29310913930999,salto,SP
-23.180801449767536,-46.90743388288811,jundiai,SP
-23.109926203817913,-45.70467567120216,cacapava,SP
-23.966695514991013,-46.426854941671394,sao vicente,SP
-18.916717801883046,-48.271747499658815,uberlandia,MG
-21.64673347985225,-46.454707444454236,botelhos,MG
-22.835096746652173,-43.00509514547455,sao goncalo,RJ
-25.576740047251654,-49.387120872281955,araucaria,PR
-22.74801928245761,-43.51224388338016,nova iguacu,RJ
-4.984223640856682,-37.07197208726299,areia branca,RN
-21.796781760499957,-41.35521466402515,campos dos goytacazes,RJ
-21.99858187008547,-47.892071837066865,sao carlos,SP
-22.43254251584073,-45.45871080308851,itajuba,MG
-12.66719941437432,-39.10487971010669,cruz das almas,BA
-22.343785626253293,-43.56050485237401,vassouras,RJ
-12.244475239129837,-38.946915436889995,feira de santana,BA
-22.093248612722128,-42.98620854239117,niteroi,RJ
-3.7366161165159943,-40.28258707744985,sobral,CE
-20.151707128714918,-44.87580445152501,divinopolis,MG
-22.193692404148187,-43.259391345101946,paraiba do sul,RJ
-7.9178649181580205,-34.91479820947664,paulista,PE
-23.547895621283494,-46.84458883486858,carapicuiba,SP
-29.457388572411514,-51.35763532250817,bom principio,RS
-21.31345624944108,-42.871991698504125,astolfo dutra,MG
-23.511215832918055,-51.84641098239827,marialva,PR
-21.071220504465416,-48.207476136541366,sao jose do rio preto,SP
-22.77481875402689,-42.03031341671458,cabo frio,RJ
-19.894734673715362,-44.03627429007583,contagem,MG
-22.78950779759273,-51.714129260757346,cafeara,PR
-20.581561233109596,-47.87557978865016,sao joaquim da barra,SP
-25.52093133981787,-54.54516502671878,foz do iguacu,PR
-23.600017350519305,-46.325330076269736,suzano,SP
-26.8296191599441,-49.27547250797796,timbo,SC
-27.011931315423162,-48.6514728847594,camboriu,SC
-28.732313697045385,-51.72596427247473,nova bassano,RS
-32.070552447376414,-52.212222900998455,rio grande,RS
-22.946447297817265,-46.5977788391534,braganca paulista,SP
-15.642023607465351,-52.42933703832901,barra do garcas,MT
-23.64975666009908,-46.85093508586712,embu das artes,SP
-28.50184824517953,-49.3074590848378,urussanga,SC
-16.590950192906828,-45.80814390243728,silvianopolis,MG
-15.0829380189492,-43.11914958416928,gameleiras,MG
-1.2706399289406396,-48.42249016169806,belem,PA
-21.810971674999962,-46.564456751054244,pocos de caldas,MG
-23.95662033970519,-46.342368834909436,santos,SP
-23.071483608674086,-46.35010228304061,piracaia,SP
-11.839965810322852,-55.553345374999964,sinop,MT
-23.95670726386667,-46.230332535727584,guaruja,SP
-23.512764420471193,-46.88424411210461,barueri,SP
-29.43834736048341,-51.27869331137919,feliz,RS
-23.285265329587546,-45.710317695112735,jambeiro,SP
-19.464182063560067,-42.55275288423267,ipatinga,MG
-21.998728128030194,-50.48294178013413,tupa,SP
-26.860226424256958,-49.10035085696382,blumenau,SC
-20.852752239249895,-50.09323963894895,moncoes,SP
-27.81196624427882,-49.08096888267531,balneario camboriu,SC
-3.547204004045784,-43.91788948725538,vargem grande,MA
-21.72755000551369,-54.50924985289868,rio brilhante,MS
-21.097622395888255,-42.184194457180475,eugenopolis,MG
-22.76178687175873,-47.152582761255715,paulinia,SP
-23.551843362966558,-51.46575167754092,apucarana,PR
-8.065931602207986,-34.93080211228248,recife,PE
-23.52747491009704,-46.78425086394925,osasco,SP
-22.969699195103765,-46.98323179117562,valinhos,SP
-3.0595110946031063,-59.97972039556039,manaus,AM
-30.189179049167784,-50.240310184128546,cidreira,RS
-29.072463740461963,-54.858102349753906,santiago,RS
-30.08664520467425,-53.6193122086592,sao sepe,RS
-9.93046855068299,-56.27054693708061,alta floresta,MT
-8.147227943314395,-34.97395453879975,jaboatao dos guararapes,PE
-20.232626852827906,-41.50430130923124,ibatiba,ES
-23.0053475538404,-47.083057225222674,hortolandia,SP
-23.66264697520254,-46.948469411463435,cotia,SP
-22.360076937737432,-41.77938465610683,macae,RJ
-26.923747026525042,-52.99986182773954,saudades,SC
0.03544437479806545,-51.082187989347375,macapa,AP
-23.623159704421926,-47.58845788960437,salto de pirapora,SP
-23.631099508336796,-46.707225633987434,taboao da serra,SP
-18.212985521217604,-49.799881026278754,bom jesus,GO
-22.847433946298175,-49.52238132107445,santa cruz do rio pardo,SP
-23.696732530559796,-46.607135703516306,diadema,SP
-13.292551004990642,-39.818585677479426,santa ines,BA
-11.666336679168534,-39.00580962781487,serrinha,BA
-23.528773674712856,-47.17888478372605,votorantim,SP
-22.415362895888745,-44.553319702064876,itatiaia,RJ
-22.664523898078492,-43.28569229745683,duque de caxias,RJ
-20.92701508956125,-41.8692282664142,varre-sai,RJ
-20.42713855236074,-40.32842106050482,vila velha,ES
-22.97372881438084,-44.0317931293595,mangaratiba,RJ
-23.125787577666465,-46.59565977977078,atibaia,SP
-12.917096631241442,-38.42120611997659,salvador,BA
-9.61306220421068,-35.71016865713274,maceio,AL
-21.269913395345874,-50.34349774999997,birigui,SP
-22.38501594087672,-43.15896068862672,petropolis,RJ
-22.55367601881928,-47.9135570434014,sao pedro,SP
-24.24310897389938,-49.691989002820776,jaguariaiva,PR
-21.942302877706858,-47.059632070695486,franco da rocha,SP
-22.930518658572446,-45.43381989973567,pindamonhangaba,SP
-25.50298532923379,-50.645765501689596,irati,PR
-24.657595960992623,-49.00742874097137,ribeira,SP
-21.247815043187323,-43.71797048292491,barbacena,MG
-7.861131281097913,-35.44850232971726,limoeiro,PE
-11.439362787999709,-60.9850698329206,espigao do oeste,RO
-22.735863245185907,-43.375629676878646,belford roxo,RJ
-19.501751689580175,-42.611591024888334,coronel fabriciano,MG
-24.164796412244982,-46.81274121411553,itanhaem,SP
-20.96574603609991,-48.54935007812171,bebedouro,SP
-22.738871624343567,-47.308884969819374,americana,SP
-20.49658586379764,-43.48518737808146,uba,MG
-23.41182172888766,-51.434220804396475,arapongas,PR
-23.478056424908505,-46.89299514624657,vinhedo,SP
-26.910445364308657,-48.69576534398712,itajai,SC
-21.77565874934264,-48.527409926818976,bauru,SP
-21.352878201410313,-48.07372686641046,pradopolis,SP
-10.234976165063054,-59.513961784715235,aripuana,MT
